Timestamp,Age,Income,Criminal Record,Release Date,Paid,Payment Date,Status,Comment
2025-04-05T08:22:06.199045,12,9999999999,False,,True,2025-04-05,Loan Denied,- Do your parents know you're making financial decisions?
2025-04-05T08:22:35.013636,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:51:20.625260,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:52:25.109761,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:52:28.730808,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:52:39.629437,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:57:00.543355,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T08:59:28.186002,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T09:00:15.362256,30,900,False,,True,2025-04-05,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T09:01:41.731097,99,99999999999999,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T09:05:14.987069,999,99999999999,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T09:23:48.539336,999,999999999,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T09:24:28.999359,9999999999999999,10000,False,,True,2025-04-04,Pending,- Late Fees Applied! Better late than never... but it'll cost you.
2025-04-05T09:24:47.298667,9999999999999999,100000,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:03:16.527427,9999999,10000,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:03:39.372365,9999999,10000,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:03:57.279280,9999999999,99999999999,False,,True,2025-04-04,Pending,- Late Fees Applied! Better late than never... but it'll cost you.
2025-04-05T10:04:13.178548,9999999999,99999999999,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:04:34.463453,9999999999,99999999999,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:04:46.957900,9999999999,9999999999,False,,True,2025-04-04,Pending,- Late Fees Applied! Better late than never... but it'll cost you.
2025-04-05T10:05:05.609720,231312313132,43243243243,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:06:02.739581,99999,100,False,,True,2025-04-04,Loan Denied,"- This isn't a charity, buddy."
2025-04-05T10:06:22.385528,90000000,900000,False,,True,2025-04-05,Approved,"- You probably have a yacht, but we're still not impressed."
2025-04-05T10:09:54.921314,90000000,900000,False,,True,2025-04-05,Pending,"- 90000000? Vampires again? No. Look, if our security cameras can't see you, we don't lend to vampires. They're night owls, and our office closes at 5. Anyway: denied!"
2025-04-05T10:10:02.268070,90000000,900000,False,,True,2025-04-05,Pending,"- 90000000? Vampires again? No. Look, if our security cameras can't see you, we don't lend to vampires. They're night owls, and our office closes at 5. Anyway: denied!"
2025-04-05T10:10:19.588154,10,456745679,False,,True,2025-04-05,Loan Denied,- 10? Do your parents know you're making financial decisions?
2025-04-05T10:10:37.334468,10,456745679,False,,True,2025-04-05,Loan Denied,- 10 years old ? Do your parents know you're making financial decisions?
2025-04-05T10:10:59.458575,10,2372378913789712893,False,,True,2025-04-05,Loan Denied,- 10 years old ? Do your parents know you're making financial decisions?
2025-04-05T10:11:24.280289,9999999999,99999999999,False,,True,2025-04-04,Pending,"- 9999999999? Vampires again? No. Look, if our security cameras can't see you, we don't lend to vampires. They're night owls, and our office closes at 5. Anyway: denied!"
2025-04-05T10:11:55.241041,9999999999,99999999999,False,,True,2025-04-04,Pending,"- 9999999999? wai... Vampires again? No. Look, if our security cameras can't see you, we don't lend to vampires. They're night owls, and our office closes at 5. Anyway: denied!"
